Lake,Year,Departure/Arrival,Date
Krankesjön,2007/2008,Departure,25/09/2007
Krankesjön,2007/2008,Departure,13/09/2007
Krankesjön,2007/2008,Departure,6/09/2007
Krankesjön,2007/2008,Departure,7/11/2007
Krankesjön,2007/2008,Departure,15/12/2007
Krankesjön,2007/2008,Departure,14/12/2007
Krankesjön,2007/2008,Departure,12/12/2007
Krankesjön,2007/2008,Departure,17/10/2007
Krankesjön,2007/2008,Departure,4/10/2007
Krankesjön,2007/2008,Departure,27/09/2007
Krankesjön,2007/2008,Departure,9/09/2007
Krankesjön,2007/2008,Departure,13/01/2008
Krankesjön,2007/2008,Departure,14/12/2007
Krankesjön,2007/2008,Departure,15/09/2007
Krankesjön,2007/2008,Departure,15/12/2007
Krankesjön,2007/2008,Departure,14/12/2007
Krankesjön,2007/2008,Departure,7/11/2007
Krankesjön,2007/2008,Departure,20/11/2007
Krankesjön,2007/2008,Departure,1/10/2007
Krankesjön,2007/2008,Departure,18/09/2007
Krankesjön,2007/2008,Departure,1/11/2007
Krankesjön,2007/2008,Departure,2/11/2007
Krankesjön,2007/2008,Departure,17/10/2007
Krankesjön,2007/2008,Departure,5/09/2007
Krankesjön,2007/2008,Departure,19/09/2007
Krankesjön,2007/2008,Departure,15/09/2007
Krankesjön,2007/2008,Departure,7/09/2007
Krankesjön,2008/2009,Departure,14/09/2008
Krankesjön,2008/2009,Departure,15/09/2008
Krankesjön,2008/2009,Departure,20/11/2008
Krankesjön,2008/2009,Departure,21/11/2008
Krankesjön,2008/2009,Departure,5/11/2008
Krankesjön,2008/2009,Departure,23/09/2008
Krankesjön,2008/2009,Departure,24/09/2008
Krankesjön,2008/2009,Departure,15/09/2008
Krankesjön,2008/2009,Departure,21/11/2008
Krankesjön,2008/2009,Departure,19/11/2008
Krankesjön,2008/2009,Departure,20/11/2008
Krankesjön,2008/2009,Departure,14/11/2008
Krankesjön,2008/2009,Departure,21/11/2008
Krankesjön,2008/2009,Departure,15/09/2008
Krankesjön,2008/2009,Departure,16/09/2008
Krankesjön,2008/2009,Departure,19/11/2008
Krankesjön,2008/2009,Departure,19/11/2008
Krankesjön,2008/2009,Departure,20/11/2008
Krankesjön,2008/2009,Departure,17/09/2008
Krankesjön,2008/2009,Departure,24/09/2008
Krankesjön,2008/2009,Departure,21/11/2008
Krankesjön,2008/2009,Departure,13/10/2008
Krankesjön,2008/2009,Departure,21/09/2008
Krankesjön,2008/2009,Departure,14/09/2008
Krankesjön,2008/2009,Departure,16/09/2008
Krankesjön,2008/2009,Departure,15/09/2008
Krankesjön,2008/2009,Departure,21/09/2008
Krankesjön,2008/2009,Departure,15/09/2008
Krankesjön,2008/2009,Departure,19/11/2008
Krankesjön,2008/2009,Departure,13/10/2008
Krankesjön,2008/2009,Departure,5/01/2009
Krankesjön,2008/2009,Departure,23/09/2008
Krankesjön,2008/2009,Departure,27/10/2008
Krankesjön,2008/2009,Departure,16/09/2008
Krankesjön,2008/2009,Departure,24/09/2008
Krankesjön,2008/2009,Departure,15/09/2008
Krankesjön,2008/2009,Departure,15/09/2008
Krankesjön,2008/2009,Departure,25/09/2008
Krankesjön,2008/2009,Departure,23/09/2008
Krankesjön,2008/2009,Departure,21/11/2008
Krankesjön,2008/2009,Departure,14/09/2008
Krankesjön,2008/2009,Departure,15/09/2008
Krankesjön,2008/2009,Departure,15/09/2008
Krankesjön,2008/2009,Departure,20/11/2008
Krankesjön,2008/2009,Departure,3/11/2008
Krankesjön,2008/2009,Departure,27/10/2008
Krankesjön,2008/2009,Departure,25/09/2008
Krankesjön,2008/2009,Departure,20/11/2008
Krankesjön,2008/2009,Departure,20/11/2008
Krankesjön,2008/2009,Departure,20/11/2008
Krankesjön,2009/2010,Departure,26/03/2010
Krankesjön,2009/2010,Departure,31/12/2009
Krankesjön,2009/2010,Departure,20/12/2009
Krankesjön,2009/2010,Departure,11/11/2009
Krankesjön,2009/2010,Departure,7/12/2009
Krankesjön,2010/2011,Departure,10/04/2011
Krankesjön,2010/2011,Departure,24/09/2010
Krankesjön,2010/2011,Departure,28/09/2010
Krankesjön,2010/2011,Departure,18/09/2010
Krankesjön,2010/2011,Departure,19/09/2010
Krankesjön,2010/2011,Departure,30/09/2010
Krankesjön,2010/2011,Departure,30/09/2010
Krankesjön,2010/2011,Departure,27/09/2010
Krankesjön,2010/2011,Departure,19/09/2010
Krankesjön,2010/2011,Departure,21/10/2010
Krankesjön,2010/2011,Departure,28/09/2010
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,17/10/2011
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,25/09/2011
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,4/12/2011
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,13/10/2011
Krankesjön,2011/2012,Departure,12/10/2011
Krankesjön,2011/2012,Departure,13/10/2011
Krankesjön,2011/2012,Departure,19/09/2011
Krankesjön,2011/2012,Departure,19/09/2011
Krankesjön,2011/2012,Departure,16/09/2011
Krankesjön,2011/2012,Departure,20/09/2011
Krankesjön,2011/2012,Departure,19/09/2011
Krankesjön,2011/2012,Departure,31/03/2012
Krankesjön,2011/2012,Departure,19/09/2011
Krankesjön,2011/2012,Departure,9/10/2011
Krankesjön,2011/2012,Departure,31/03/2012
Krankesjön,2011/2012,Departure,12/03/2012
Krankesjön,2011/2012,Departure,9/10/2011
Krankesjön,2011/2012,Departure,25/03/2012
Krankesjön,2011/2012,Departure,24/03/2012
Krankesjön,2011/2012,Departure,14/12/2011
Krankesjön,2011/2012,Departure,25/09/2011
Krankesjön,2011/2012,Departure,19/03/2012
Krankesjön,2011/2012,Departure,3/03/2012
Krankesjön,2011/2012,Departure,23/03/2012
Krankesjön,2011/2012,Departure,13/03/2012
Krankesjön,2011/2012,Departure,22/09/2011
Krankesjön,2011/2012,Departure,3/03/2012
Krankesjön,2011/2012,Departure,2/03/2012
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,2/03/2012
Krankesjön,2011/2012,Departure,4/12/2011
Krankesjön,2011/2012,Departure,4/12/2011
Krankesjön,2011/2012,Departure,4/12/2011
Krankesjön,2011/2012,Departure,4/12/2011
Krankesjön,2011/2012,Departure,4/12/2011
Krankesjön,2011/2012,Departure,10/12/2011
Krankesjön,2011/2012,Departure,7/12/2011
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,2/01/2012
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,16/09/2011
Krankesjön,2011/2012,Departure,7/12/2011
Krankesjön,2011/2012,Departure,5/12/2011
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,8/12/2011
Krankesjön,2011/2012,Departure,18/09/2011
Krankesjön,2011/2012,Departure,3/12/2011
Krankesjön,2011/2012,Departure,5/12/2011
Krankesjön,2011/2012,Departure,20/09/2011
Krankesjön,2011/2012,Departure,14/11/2011
Krankesjön,2011/2012,Departure,11/10/2011
Krankesjön,2011/2012,Departure,13/10/2011
Krankesjön,2011/2012,Departure,10/10/2011
Krankesjön,2011/2012,Departure,13/10/2011
Krankesjön,2011/2012,Departure,13/10/2011
Krankesjön,2011/2012,Departure,9/10/2011
Krankesjön,2011/2012,Departure,13/10/2011
Krankesjön,2011/2012,Departure,21/09/2011
Krankesjön,2011/2012,Departure,10/10/2011
Krankesjön,2011/2012,Departure,13/10/2011
Krankesjön,2011/2012,Departure,17/09/2011
Krankesjön,2011/2012,Departure,17/09/2011
Krankesjön,2011/2012,Departure,17/09/2011
Krankesjön,2011/2012,Departure,17/09/2011
Krankesjön,2011/2012,Departure,16/09/2011
Krankesjön,2011/2012,Departure,15/09/2011
Krankesjön,2011/2012,Departure,19/09/2011
Krankesjön,2011/2012,Departure,13/09/2011
Krankesjön,2011/2012,Departure,12/09/2011
Krankesjön,2011/2012,Departure,9/10/2011
Krankesjön,2011/2012,Departure,10/10/2011
Krankesjön,2011/2012,Departure,9/10/2011
Krankesjön,2011/2012,Departure,9/10/2011
Krankesjön,2011/2012,Departure,5/12/2011
Krankesjön,2011/2012,Departure,17/09/2011
Krankesjön,2011/2012,Departure,20/09/2011
Krankesjön,2011/2012,Departure,15/09/2011
Krankesjön,2012/2013,Departure,7/09/2012
Krankesjön,2012/2013,Departure,12/04/2013
Krankesjön,2012/2013,Departure,25/11/2012
Krankesjön,2012/2013,Departure,22/09/2012
Krankesjön,2012/2013,Departure,25/11/2012
Krankesjön,2012/2013,Departure,21/11/2012
Krankesjön,2012/2013,Departure,25/11/2012
Krankesjön,2012/2013,Departure,10/09/2012
Krankesjön,2012/2013,Departure,30/09/2012
Krankesjön,2012/2013,Departure,20/11/2012
Krankesjön,2012/2013,Departure,20/11/2012
Krankesjön,2012/2013,Departure,20/11/2012
Krankesjön,2012/2013,Departure,6/09/2012
Krankesjön,2012/2013,Departure,15/11/2012
Krankesjön,2012/2013,Departure,8/09/2012
Krankesjön,2012/2013,Departure,11/11/2012
Krankesjön,2012/2013,Departure,7/09/2012
Krankesjön,2012/2013,Departure,17/09/2012
Krankesjön,2012/2013,Departure,2/01/2013
Krankesjön,2012/2013,Departure,16/09/2012
Krankesjön,2012/2013,Departure,8/09/2012
Krankesjön,2012/2013,Departure,7/09/2012
Krankesjön,2012/2013,Departure,7/09/2012
Krankesjön,2012/2013,Departure,31/08/2012
Krankesjön,2012/2013,Departure,18/10/2012
Krankesjön,2012/2013,Departure,28/08/2012
Krankesjön,2012/2013,Departure,25/11/2012
Krankesjön,2012/2013,Departure,28/08/2012
Krankesjön,2012/2013,Departure,20/10/2012
Krankesjön,2012/2013,Departure,7/09/2012
Krankesjön,2012/2013,Departure,21/01/2013
Krankesjön,2012/2013,Departure,28/08/2012
Krankesjön,2012/2013,Departure,15/08/2012
Krankesjön,2012/2013,Departure,17/09/2012
Krankesjön,2012/2013,Departure,10/08/2012
Krankesjön,2012/2013,Departure,23/11/2012
Krankesjön,2012/2013,Departure,20/11/2012
Krankesjön,2012/2013,Departure,20/11/2012
Krankesjön,2012/2013,Departure,16/09/2012
Krankesjön,2012/2013,Departure,20/11/2012
Krankesjön,2012/2013,Departure,28/08/2012
Krankesjön,2012/2013,Departure,28/08/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,20/10/2012
Krankesjön,2012/2013,Departure,22/10/2012
Krankesjön,2012/2013,Departure,29/09/2012
Krankesjön,2012/2013,Departure,10/09/2012
Krankesjön,2012/2013,Departure,10/09/2012
Krankesjön,2012/2013,Departure,9/09/2012
Krankesjön,2012/2013,Departure,6/09/2012
Krankesjön,2012/2013,Departure,6/09/2012
Krankesjön,2012/2013,Departure,1/09/2012
Krankesjön,2012/2013,Departure,28/08/2012
Krankesjön,2012/2013,Departure,7/09/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,11/08/2012
Krankesjön,2012/2013,Departure,11/09/2012
Krankesjön,2012/2013,Departure,6/09/2012
Krankesjön,2012/2013,Departure,16/09/2012
Krankesjön,2012/2013,Departure,24/09/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,5/11/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,28/08/2012
Krankesjön,2012/2013,Departure,23/11/2012
Krankesjön,2012/2013,Departure,6/09/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,28/08/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,9/08/2012
Krankesjön,2012/2013,Departure,10/08/2012
Krankesjön,2012/2013,Departure,23/10/2012
